date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2012:34:50%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-e154599399e6b8b29dcb1102cc76eb199fa33a09af4fa78d15e8f8544ee64fcd.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-e154599399e6b8b29dcb1102cc76eb199fa33a09af4fa78d15e8f8544ee64fcd.js	(from https://nokshi-2.myshopify.com/)
16:34:51	10292/10292	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2004%20Jan%202023%2020:03:22%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-e154599399e6b8b29dcb1102cc76eb199fa33a09af4fa78d15e8f8544ee64fcd.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-e154599399e6b8b29dcb1102cc76eb199fa33a09af4fa78d15e8f8544ee64fcd.js	(from https://nokshi-2.myshopify.com/)
16:34:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2012:34:51%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://nokshi-2.myshopify.com/)
16:34:52	37632/37632	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2026%20Aug%202022%2003:53:16%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://nokshi-2.myshopify.com/)
16:34:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2012:34:51%20GMT	http://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/compiled_assets/styles.css?837	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/compiled_assets/stylesb0b1.css	(from https://nokshi-2.myshopify.com/)
16:34:52	59/59	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Feb%202023%2011:32:42%20GMT	https://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/compiled_assets/styles.css?837	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/compiled_assets/stylesb0b1.css	(from https://nokshi-2.myshopify.com/)
16:34:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2012:34:52%20GMT	http://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/compiled_assets/scripts.js?837	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/compiled_assets/scriptsb0b1.js	(from https://nokshi-2.myshopify.com/)
16:34:52	0/0	---M--	200	added ('OK')	text/javascript	date:Wed,%2008%20Feb%202023%2011:32:42%20GMT	https://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/compiled_assets/scripts.js?837	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/compiled_assets/scriptsb0b1.js	(from https://nokshi-2.myshopify.com/)
16:34:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2012:34:52%20GMT	http://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/modernizr-3.5.0.min.js?v=129302752053281709951675837216	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/modernizr-3.5.0.min61a7.js	(from https://nokshi-2.myshopify.com/)
16:34:53	8636/8636	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2008%20Feb%202023%2006:20:59%20GMT	https://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/modernizr-3.5.0.min.js?v=129302752053281709951675837216	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/modernizr-3.5.0.min61a7.js	(from https://nokshi-2.myshopify.com/)
